Triangle Count,Processing Time (s)
9080,28.769654273986816
9159,15.69550919532776
9820,23.951425552368164
10224,27.498756170272827
10263,15.078409433364868
10500,27.50364661216736
11004,34.27835202217102
11266,16.747809410095215
11330,41.34482097625733
12004,32.76535606384277
12072,18.56238412857056
12516,112.06755495071413
12716,17.013295650482178
12866,30.31838583946228
13124,28.68541502952576
13500,19.46025824546814
13596,47.041539430618286
13754,28.503056287765503
13790,28.127814054489136
16372,38.63824009895325
16410,18.605613708496094
16854,21.145310163497925
17506,25.3398175239563
18030,50.51647686958313
19110,32.22014403343201
19766,51.21416115760803
23052,45.9097912311554
23060,46.63313841819763
23390,49.77889895439148
24072,64.61802220344543
24888,59.42693877220154
25276,68.44631028175354
26124,64.34299874305725
26319,78.57725095748901
32044,65.93001437187195
33580,65.10413146018982
38349,99.09455704689026
43404,108.9611873626709
45754,114.12805581092834
